TIPO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
GRADUACAO,103,344,470,418,268,253,422,622,648,676,787,891,1473,2446,6190,17972,33991,29579,10593,1668,1687
DOUTORADO,1480,1587,1673,1641,1729,1928,1952,2239,2451,2394,2263,2331,2467,2822,3847,5250,7354,7728,4470,6955,5504
MESTRADO,18,10,20,26,19,7,10,7,7,7,0,17,29,56,99,96,637,611,478,35,23
POS_DOC,266,256,267,407,454,454,535,639,757,829,922,841,729,853,921,1092,1382,1246,639,451,495
ARTICULADOR PEDAGÓGICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0
CAPACITAÇÃO PROFESSORES DA EDUCAÇÃO BÁSICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,82,35,73,74,0
CÁTEDRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,6,14,8,8
PIDRH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
PROFESSOR/PESQUISADOR VISITANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,0,1,415
Professor de Educação Básica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,0,0,0,0,0,0
